execution_date,fetched_records,validation_failures,stored_records,duplicates_skipped,validation_pass_rate,timestamp
2026-04-13T11:39:57.326127+00:00,2,0,2,0,1.0,2026-04-13T11:40:02.650356
2026-04-13T10:00:00+00:00,2,0,2,0,1.0,2026-04-13T11:40:12.777111
2026-04-13T11:00:00+00:00,2,0,2,0,1.0,2026-04-13T12:00:06.564653
2026-04-16T19:00:00+07:00,4,0,4,0,1.0,2026-04-16T20:00:04.813414+07:00
2026-04-16T22:00:00+07:00,4,0,4,0,1.0,2026-04-16T23:20:12.187654+07:00
2026-04-16T23:00:00+07:00,4,0,4,0,1.0,2026-04-17T00:00:06.695439+07:00
2026-04-17T00:00:00+07:00,4,0,4,0,1.0,2026-04-17T01:00:04.574899+07:00
2026-04-17T01:00:00+07:00,4,0,4,0,1.0,2026-04-17T02:00:04.838955+07:00
