mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_optimizer__lr,param_module__units,param_module__dropout,param_max_epochs,param_batch_size,params,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score
4.9214465618133545,0.6922996318114999,0.017499367396036785,0.005767105524295785,0.01,32,0.1,50,16,"{'optimizer__lr': 0.01, 'module__units': 32, 'module__dropout': 0.1, 'max_epochs': 50, 'batch_size': 16}",-12.973204612731934,-7.331356048583984,-8.862874984741211,-9.722478548685709,2.3821282529920076,5
3.9087677001953125,1.7199230258178018,0.012172301610310873,0.002227729418242673,0.01,32,0.2,50,16,"{'optimizer__lr': 0.01, 'module__units': 32, 'module__dropout': 0.2, 'max_epochs': 50, 'batch_size': 16}",-13.27835750579834,-7.407728672027588,-8.538663864135742,-9.741583347320557,2.5431387677755417,6
3.6382761001586914,1.3408243780707414,0.011857191721598307,0.0014763668804370327,0.001,32,0.1,50,16,"{'optimizer__lr': 0.001, 'module__units': 32, 'module__dropout': 0.1, 'max_epochs': 50, 'batch_size': 16}",-10.581666946411133,-9.793441772460938,-6.598997592926025,-8.991368770599365,1.72199586140304,4
3.682586431503296,1.514725868611243,0.012664874394734701,0.00108498539191362,0.01,64,0.2,50,16,"{'optimizer__lr': 0.01, 'module__units': 64, 'module__dropout': 0.2, 'max_epochs': 50, 'batch_size': 16}",-9.994222640991211,-7.449888706207275,-8.904903411865234,-8.783004919687906,1.042290178635363,2
3.9380784829457602,1.618522196573294,0.013045628865559896,0.0010374080569561922,0.001,64,0.1,50,16,"{'optimizer__lr': 0.001, 'module__units': 64, 'module__dropout': 0.1, 'max_epochs': 50, 'batch_size': 16}",-10.091607093811035,-9.073939323425293,-6.448765277862549,-8.538103898366293,1.5346908105688775,1
3.475356101989746,1.396233794558254,0.011911789576212565,0.00011232296000212856,0.001,32,0.2,50,16,"{'optimizer__lr': 0.001, 'module__units': 32, 'module__dropout': 0.2, 'max_epochs': 50, 'batch_size': 16}",-11.19721794128418,-8.98239517211914,-6.50000524520874,-8.893206119537354,1.9186658200198043,3
